StudyID,SampID,Ecosystem,Latitude,Longitude,Cdepth,carbon_stock_30cm,carbon_stock_50cm,carbon_stock_100cm
4,21,SG,49.66555,-124.91283,45,22.57,61.4,NA
4,22,FL,49.66605,-124.91022,52.5,11.06,26.26,NA
4,23,SG,49.67005,-124.93853,58.5,22.03,28.48,NA
4,24,SG,49.65835,-124.95398,50,17.37,39.55,NA
4,25,SG,49.66023,-124.9439,55,12.31,21.7,NA
4,26,FL,49.6668,-124.93478,45,15.18,NA,NA
4,27,SG,49.65865,-124.9423,45,22.04,46.28,NA
4,28,SG,49.66513,-124.91967,50,21.2,25.96,NA
4,29,SG,49.65162,-124.93242,55,56.85,87.16,NA
18,685,SG,52.0614,-128.4132,69,23.48,44.95,NA
18,686,SG,52.0611,-128.4134,28.5,37.15,NA,NA
18,687,SG,52.0621,-128.4139,30,34.27,NA,NA
18,688,SG,52.0615,-128.4122,20,49.14,NA,NA
18,689,SG,52.0614,-128.4126,28,59.69,NA,NA
18,690,SG,52.0614,-128.4132,25,32.44,NA,NA
18,691,SG,52.0616,-128.4137,25,10.29,NA,NA
18,692,FL,52.062,-128.413,29,8.73,NA,NA
18,693,FL,52.062,-128.413,30,21.75,NA,NA
18,694,FL,52.062,-128.413,30,36.45,NA,NA
18,655,SG,51.6453,-128.1193,51.5,29.32,50.6,NA
18,656,SG,51.6471,-128.1204,27,24.65,NA,NA
18,657,SG,51.6466,-128.1198,24,16.1,NA,NA
18,658,SG,51.6466,-128.1191,27.5,25.28,NA,NA
18,659,SG,51.6459,-128.1194,22,28.93,NA,NA
18,660,SG,51.6453,-128.1193,25,25.59,NA,NA
18,661,SG,51.6447,-128.1198,25,24.38,NA,NA
18,662,FL,51.649,-128.119,22,36.1,NA,NA
18,663,FL,51.649,-128.119,26,19.19,NA,NA
18,664,FL,51.649,-128.119,26,22.59,NA,NA
19,777,SG,51.646,-128.119,80,24.61,44.55,127.54
19,778,SG,51.646,-128.119,74,21.55,28.47,NA
19,779,SG,51.646,-128.119,70,20.39,36.1,NA
9,391,EM,54.18008,-130.18214,85,113.61,175.73,283.97
9,392,EM,54.18011,-130.1823,90,55.13,63.35,87.1
9,393,EM,54.18072,-130.18513,50,49.48,120.4,NA
9,394,EM,54.18108,-130.18519,75,82.03,134.01,263.95
9,395,EM,54.18097,-130.18494,75,85.9,131.29,244.78
9,396,EM,54.16811,-130.15836,70,113.7,178.42,NA
9,397,EM,54.16805,-130.1585,90,67.84,86.29,215.4
9,398,EM,54.1683,-130.15872,80,45.33,73.34,147
9,399,EM,54.16633,-130.15577,80,80.54,130.94,232.34
9,400,EM,54.17294,-130.16883,100,74.05,129.09,252.25
9,401,EM,54.17291,-130.16897,100,61.63,88.54,157.05
9,402,EM,54.17286,-130.16905,100,31.1,54.28,107.61
9,403,EM,54.17089,-130.18833,100,102.91,153.59,289.6
9,404,EM,54.17103,-130.18833,100,90.27,143.36,267.5
9,405,EM,54.17128,-130.18819,100,40.8,62.47,119.59
9,406,EM,54.17024,-130.18661,100,61.17,80.78,143.06
9,407,EM,54.17008,-130.18672,100,67.7,108.11,208.81
9,408,EM,54.17011,-130.18686,100,135.16,206.42,323.87
9,409,EM,54.16933,-130.1853,100,117.34,183.14,301.92
9,410,EM,54.16955,-130.18533,100,72.19,113.59,256.39
9,411,EM,54.16958,-130.18511,100,55.22,87.48,139.23
9,412,EM,54.16341,-130.15108,100,95.47,153.67,291.28
9,413,EM,54.16327,-130.15144,100,79.07,132.32,227.71
9,414,EM,54.16166,-130.14941,100,91.89,175.93,333.98
9,415,EM,54.16166,-130.14958,100,71.2,108.32,223.48
9,416,EM,54.15858,-130.16616,100,145.29,216.58,391.4
9,417,EM,54.15852,-130.16586,100,80.8,127.47,227.04
9,418,EM,54.15858,-130.16561,100,53.29,84.71,157.13
9,419,EM,54.17883,-130.1803,100,116.04,196.65,384.92
9,420,EM,54.17891,-130.18011,100,85.19,134.77,175.3
9,421,EM,54.17902,-130.17991,90,60.55,170.29,216.65
9,422,EM,54.16308,-130.15194,100,57.18,95.5,217.32
9,423,EM,54.16163,-130.1498,100,45.04,81.2,136.87
7,723,SG,54.19,-130.24,25,13.64,NA,NA
7,724,SG,54.19,-130.24,20,6.75,NA,NA
7,725,SG,54.19,-130.24,25,8.93,NA,NA
18,675,SG,51.8087,-128.2359,59,33.2,50.73,NA
18,676,SG,51.8099,-128.2355,30,25.67,NA,NA
18,677,SG,51.81,-128.2347,30,10.61,NA,NA
18,678,SG,51.8094,-128.2338,30,10.66,NA,NA
18,679,SG,51.8092,-128.2352,29,35.96,NA,NA
18,680,SG,51.8087,-128.2359,30,44.92,NA,NA
18,681,SG,51.8083,-128.2365,30,23.81,NA,NA
18,682,FL,51.809,-128.236,30,22.19,NA,NA
18,683,FL,51.809,-128.236,25,17.33,NA,NA
18,684,FL,51.809,-128.236,30,27.71,NA,NA
7,720,SG,49,-123.1,25,19.08,NA,NA
7,721,SG,49,-123.1,25,17.82,NA,NA
7,722,SG,49,-123.1,25,13.85,NA,NA
,,,,,,,,
,,,,,,,,
,,,Lat,Long,,,,
,,,49.05003,-123.03683,,,,
,,,49.05031,-123.03469,,,,
,,,49.048,-123.04686,,,,
,,,49.04725,-123.04589,,,,
,,,49.04697,-123.04689,,,,
,,,49.04811,-123.04428,,,,
,,,49.04878,-123.04572,,,,
,,,49.04656,-123.04444,,,,
,,,49.04753,-123.04361,,,,
,,,49.04658,-123.04183,,,,
,,,49.03,-123.0435,,,,
,,,49.04339,-123.04869,,,,
,,,51.6735,-128.118,,,,
,,,51.6788,-128.1148,,,,
,,,51.6726,-128.1172,,,,
